PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck
1,0,3,0,22.0,1,0,7.25,2,3
2,1,1,1,38.0,1,0,71.2833,0,0
3,1,3,1,26.0,0,0,7.925,2,3
4,1,1,1,35.0,1,0,53.1,2,0
5,0,3,0,35.0,0,0,8.05,2,3
6,0,3,0,28.0,0,0,8.4583,1,3
7,0,1,0,54.0,0,0,51.8625,2,1
8,0,3,0,2.0,3,1,21.075,2,3
9,1,3,1,27.0,0,2,11.1333,2,3
10,1,2,1,14.0,1,0,30.0708,0,3
11,1,3,1,4.0,1,1,16.7,2,2
12,1,1,1,58.0,0,0,26.55,2,0
13,0,3,0,20.0,0,0,8.05,2,3
14,0,3,0,39.0,1,5,31.275,2,3
15,0,3,1,14.0,0,0,7.8542,2,3
16,1,2,1,55.0,0,0,16.0,2,3
17,0,3,0,2.0,4,1,29.125,1,3
18,1,2,0,28.0,0,0,13.0,2,3
19,0,3,1,31.0,1,0,18.0,2,3
20,1,3,1,28.0,0,0,7.225,0,3
21,0,2,0,35.0,0,0,26.0,2,3
22,1,2,0,34.0,0,0,13.0,2,1
23,1,3,1,15.0,0,0,8.0292,1,3
24,1,1,0,28.0,0,0,35.5,2,0
25,0,3,1,8.0,3,1,21.075,2,3
26,1,3,1,38.0,1,5,31.3875,2,3
27,0,3,0,28.0,0,0,7.225,0,3
28,0,1,0,19.0,3,2,263.0,2,0
29,1,3,1,28.0,0,0,7.8792,1,3
30,0,3,0,28.0,0,0,7.8958,2,3
31,0,1,0,40.0,0,0,27.7208,0,3
32,1,1,1,28.0,1,0,146.5208,0,0
33,1,3,1,28.0,0,0,7.75,1,3
34,0,2,0,66.0,0,0,10.5,2,3
35,0,1,0,28.0,1,0,82.1708,0,3
36,0,1,0,42.0,1,0,52.0,2,3
37,1,3,0,28.0,0,0,7.2292,0,3
38,0,3,0,21.0,0,0,8.05,2,3
39,0,3,1,18.0,2,0,18.0,2,3
40,1,3,1,14.0,1,0,11.2417,0,3
41,0,3,1,40.0,1,0,9.475,2,3
42,0,2,1,27.0,1,0,21.0,2,3
43,0,3,0,28.0,0,0,7.8958,0,3
44,1,2,1,3.0,1,2,41.5792,0,3
45,1,3,1,19.0,0,0,7.8792,1,3
46,0,3,0,28.0,0,0,8.05,2,3
47,0,3,0,28.0,1,0,15.5,1,3
48,1,3,1,28.0,0,0,7.75,1,3
49,0,3,0,28.0,2,0,21.6792,0,3
50,0,3,1,18.0,1,0,17.8,2,3
51,0,3,0,7.0,4,1,39.6875,2,3
52,0,3,0,21.0,0,0,7.8,2,3
53,1,1,1,49.0,1,0,76.7292,0,1
54,1,2,1,29.0,1,0,26.0,2,3
55,0,1,0,65.0,0,1,61.9792,0,0
56,1,1,0,28.0,0,0,35.5,2,0
57,1,2,1,21.0,0,0,10.5,2,3
58,0,3,0,28.5,0,0,7.2292,0,3
59,1,2,1,5.0,1,2,27.75,2,3
60,0,3,0,11.0,5,2,46.9,2,3
61,0,3,0,22.0,0,0,7.2292,0,3
62,1,1,1,38.0,0,0,80.0,2,0
63,0,1,0,45.0,1,0,83.475,2,0
64,0,3,0,4.0,3,2,27.9,2,3
65,0,1,0,28.0,0,0,27.7208,0,3
66,1,3,0,28.0,1,1,15.2458,0,3
67,1,2,1,29.0,0,0,10.5,2,2
68,0,3,0,19.0,0,0,8.1583,2,3
69,1,3,1,17.0,4,2,7.925,2,3
70,0,3,0,26.0,2,0,8.6625,2,3
71,0,2,0,32.0,0,0,10.5,2,3
72,0,3,1,16.0,5,2,46.9,2,3
73,0,2,0,21.0,0,0,73.5,2,3
74,0,3,0,26.0,1,0,14.4542,0,3
75,1,3,0,32.0,0,0,56.4958,2,3
76,0,3,0,25.0,0,0,7.65,2,2
77,0,3,0,28.0,0,0,7.8958,2,3
78,0,3,0,28.0,0,0,8.05,2,3
79,1,2,0,0.83,0,2,29.0,2,3
80,1,3,1,30.0,0,0,12.475,2,3
81,0,3,0,22.0,0,0,9.0,2,3
82,1,3,0,29.0,0,0,9.5,2,3
83,1,3,1,28.0,0,0,7.7875,1,3
84,0,1,0,28.0,0,0,47.1,2,3
85,1,2,1,17.0,0,0,10.5,2,3
86,1,3,1,33.0,3,0,15.85,2,3
87,0,3,0,16.0,1,3,34.375,2,3
88,0,3,0,28.0,0,0,8.05,2,3
89,1,1,1,23.0,3,2,263.0,2,0
90,0,3,0,24.0,0,0,8.05,2,3
91,0,3,0,29.0,0,0,8.05,2,3
92,0,3,0,20.0,0,0,7.8542,2,3
93,0,1,0,46.0,1,0,61.175,2,1
94,0,3,0,26.0,1,2,20.575,2,3
95,0,3,0,59.0,0,0,7.25,2,3
96,0,3,0,28.0,0,0,8.05,2,3
97,0,1,0,71.0,0,0,34.6542,0,0
98,1,1,0,23.0,0,1,63.3583,0,1
99,1,2,1,34.0,0,1,23.0,2,3
100,0,2,0,34.0,1,0,26.0,2,3
101,0,3,1,28.0,0,0,7.8958,2,3
102,0,3,0,28.0,0,0,7.8958,2,3
103,0,1,0,21.0,0,1,77.2875,2,1
104,0,3,0,33.0,0,0,8.6542,2,3
105,0,3,0,37.0,2,0,7.925,2,3
106,0,3,0,28.0,0,0,7.8958,2,3
107,1,3,1,21.0,0,0,7.65,2,3
108,1,3,0,28.0,0,0,7.775,2,3
109,0,3,0,38.0,0,0,7.8958,2,3
110,1,3,1,28.0,1,0,24.15,1,3
