,elapsed_time,age,evaluation_year,tree,FullDataSet False Positives,FullDataSet False Negatives,FullDataSet Num Elements,id,optimization,generation
0,5.60359,1.0,0,"myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(passTriState(0)))",18.8,19.0,35.0,1,0,0
1,115.825,1.0,0,"BaggedLearner(ARG0, learnerType('Blup', None))",16.0,36.4,27.0,2,0,0
2,5.53096,1.0,0,"AdaBoostLearner(ARG0, learnerType('ExtraTrees', {'n_estimators': 100, 'max_depth': 6, 'criterion': 0}), 2, 0.01)",16.2,21.8,44.0,3,0,0
3,5.60359,1.0,0,"myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(passTriState(0)))",18.8,19.0,35.0,4,0,1
4,5.48483,1.0,0,"AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",0.0,68.4,29.0,5,0,1
5,115.825,1.0,0,"BaggedLearner(ARG0, learnerType('Blup', None))",16.0,36.4,27.0,6,0,1
6,118.701,1.0,0,"AdaBoostLearner(ARG0, learnerType('Bayes', None), 2, 1.0)",103.6,7.4,41.0,7,0,1
7,5.53096,1.0,0,"AdaBoostLearner(ARG0, learnerType('ExtraTrees', {'n_estimators': 100, 'max_depth': 6, 'criterion': 0}), 2, 0.01)",16.2,21.8,44.0,8,0,1
8,5.60359,1.0,0,"myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 1), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(passTriState(0)))",18.8,19.0,35.0,9,0,2
9,5.48483,1.0,0,"AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",0.0,68.4,29.0,10,0,2
10,115.825,1.0,0,"BaggedLearner(ARG0, learnerType('Blup', None))",16.0,36.4,27.0,11,0,2
11,118.701,1.0,0,"AdaBoostLearner(ARG0, learnerType('Bayes', None), 2, 1.0)",103.6,7.4,41.0,12,0,2
12,5.53096,1.0,0,"AdaBoostLearner(ARG0, learnerType('ExtraTrees', {'n_estimators': 100, 'max_depth': 6, 'criterion': 0}), 2, 0.01)",16.2,21.8,44.0,13,0,2
13,5.36031,1.0,3,"myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 0), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(1))",18.8,19.0,31.0,14,1,0
14,5.48483,1.0,0,"AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",0.0,68.4,29.0,15,1,0
15,118.701,1.0,0,"AdaBoostLearner(ARG0, learnerType('Bayes', None), 2, 1.0)",103.6,7.4,41.0,16,1,0
16,211.687,1.0,2,"AdaBoostLearner(ARG0, learnerType('ExtraTrees', {'n_estimators': 100, 'max_depth': 6, 'criterion': 0}), myIntAdd(255, 2), 0.01)",16.2,21.8,44.0,17,1,0
17,5.56848,1.0,0,"AdaBoostLearner(myProd(ARG0, 2), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",10.6,47.8,30.0,18,1,0
18,5.36031,1.0,3,"myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 0), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(1))",18.8,19.0,31.0,19,1,1
19,5.48483,1.0,0,"AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",0.0,68.4,29.0,20,1,1
20,115.825,1.0,0,"BaggedLearner(ARG0, learnerType('Blup', None))",16.0,36.4,27.0,21,1,1
21,118.701,1.0,0,"AdaBoostLearner(ARG0, learnerType('Bayes', None), 2, 1.0)",103.6,7.4,41.0,22,1,1
22,211.687,1.0,2,"AdaBoostLearner(ARG0, learnerType('ExtraTrees', {'n_estimators': 100, 'max_depth': 6, 'criterion': 0}), myIntAdd(255, 2), 0.01)",16.2,21.8,44.0,23,1,1
23,5.56848,1.0,0,"AdaBoostLearner(myProd(ARG0, 2), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",10.6,47.8,30.0,24,1,1
24,5.36031,1.0,3,"myPlanckTaper(AdaBoostLearner(myGaussian(ARG0, 100.0, 0), ModifyLearnerInt(learnerType('Bayes', None), falseBool, 5), passTriState(1), myIntToFloat(9)), passFloat(myFloatAdd(100.0, 0.1)), passTriState(1))",18.8,19.0,31.0,25,1,2
25,5.37576,1.0,2,"AdaBoostLearner(ARG0, learnerType('LogR', {'penalty': 0, 'C': 1.0}), myIntSub(255, 2), 1.0)",16.6,21.4,51.0,26,1,2
26,5.48483,1.0,0,"AdaBoostLearner(myProd(ARG0, 0), ModifyLearnerFloat(learnerType('LogR', {'penalty': 0, 'C': 1.0}), 0.01), myIntAdd(3, falseBool), myFloatDiv(0.1, 0.1))",0.0,68.4,29.0,27,1,2
27,115.825,1.0,0,"BaggedLearner(ARG0, learnerType('Blup', None))",16.0,36.4,27.0,28,1,2
